Benchmark,PBE_Status,PBE_Time,TR_Status,TR_Time
s_split_46/bv32_s_split_46.smt2,SUCCESS,0.15,FAIL,0.07
s_split_46/bv64_s_split_46.smt2,SUCCESS,0.58,FAIL,0.50
s_split_47/bv16_s_split_47.smt2,SUCCESS,0.11,TIMEOUT,60.00
s_split_47/bv32_s_split_47.smt2,SUCCESS,0.12,TIMEOUT,60.00
s_split_47/bv64_s_split_47.smt2,SUCCESS,0.15,TIMEOUT,60.00
s_split_48/bv16_s_split_48.smt2,SUCCESS,0.11,TIMEOUT,60.00
s_split_48/bv32_s_split_48.smt2,SUCCESS,0.11,TIMEOUT,60.00
s_split_48/bv64_s_split_48.smt2,SUCCESS,0.13,TIMEOUT,60.00
s_split_49/bv16_s_split_49.smt2,SUCCESS,0.11,TIMEOUT,60.00
s_split_49/bv32_s_split_49.smt2,SUCCESS,0.11,TIMEOUT,60.00
s_split_49/bv64_s_split_49.smt2,SUCCESS,0.12,TIMEOUT,60.00
s_split_50/bv16_s_split_50.smt2,SUCCESS,0.12,FAIL,0.04
s_split_50/bv32_s_split_50.smt2,SUCCESS,0.17,FAIL,0.09
s_split_50/bv64_s_split_50.smt2,SUCCESS,0.71,FAIL,0.62
s_split_51/bv16_s_split_51.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_51/bv32_s_split_51.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_51/bv64_s_split_51.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_52/bv16_s_split_52.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_52/bv32_s_split_52.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_52/bv64_s_split_52.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_53/bv16_s_split_53.smt2,TIMEOUT,60.00,FAIL,0.05
s_split_53/bv32_s_split_53.smt2,TIMEOUT,60.00,FAIL,0.10
s_split_53/bv64_s_split_53.smt2,TIMEOUT,60.00,FAIL,0.68
s_split_54/bv16_s_split_54.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_54/bv32_s_split_54.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_54/bv64_s_split_54.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_55/bv16_s_split_55.smt2,SUCCESS,0.12,TIMEOUT,60.00
s_split_55/bv32_s_split_55.smt2,SUCCESS,0.12,TIMEOUT,60.00
s_split_55/bv64_s_split_55.smt2,SUCCESS,0.14,TIMEOUT,60.00
s_split_56/bv16_s_split_56.smt2,SUCCESS,4.58,TIMEOUT,60.00
s_split_56/bv32_s_split_56.smt2,SUCCESS,19.29,TIMEOUT,60.00
s_split_56/bv64_s_split_56.smt2,SUCCESS,21.87,TIMEOUT,60.00
s_split_57/bv16_s_split_57.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_57/bv32_s_split_57.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_57/bv64_s_split_57.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_58/bv16_s_split_58.smt2,SUCCESS,0.12,FAIL,0.04
s_split_58/bv32_s_split_58.smt2,SUCCESS,0.16,FAIL,0.08
s_split_58/bv64_s_split_58.smt2,SUCCESS,0.49,FAIL,0.42
